pv_wp,battery_kwh,cost_index,years_ok_study,mean_study,max_study,years_ok_pvgis,mean_pvgis,max_pvgis
350.0,2.75,11938.308334570236,13,0.4963628608678294,1.7694063926940637,10,0.8321520136237743,3.002283105022831
350.0,3.0,12217.645280757592,14,0.4008085217206877,1.632420091324201,13,0.6988441780821918,2.8310502283105023
350.0,3.25,12496.982226944943,14,0.32948488222671357,1.5182648401826484,13,0.5847922436809143,2.7168949771689497
350.0,3.5,12776.319173132299,15,0.2631711299498466,1.3812785388127853,13,0.5035053615540085,2.5799086757990866
350.0,3.75,13055.656119319654,15,0.20898637310676946,1.2557077625570776,13,0.44217420527983625,2.4543378995433787
350.0,4.0,13334.993065507006,15,0.16547248109888463,1.13013698630137,14,0.37657977143997806,2.3401826484018264
350.0,5.0,14452.340850256423,16,0.0627327550714874,0.6392694063926941,15,0.19399959764952465,1.7922374429223744
350.0,7.0,16687.036419755255,16,0.0,0.0,16,0.07199617299199042,0.776255707762557
350.0,10.0,20039.079774003505,16,0.0,0.0,16,0.0,0.0
400.0,0.75,9928.612765071404,0,3.765107636549642,5.601092896174864,0,5.141241781445718,6.876138433515483
400.0,1.0,10207.94971125876,1,2.302115303041645,4.109744990892532,0,3.3231088747910276,5.2823315118397085
400.0,1.25,10487.286657446113,3,1.5214774059934624,2.8802367941712204,2,2.3028482670858597,4.052823315118397
400.0,1.5,10766.623603633467,8,1.0709325953788955,1.9694899817850637,4,1.6597990274970682,2.9337899543378994
400.0,1.75,11045.960549820822,10,0.7380168176260697,1.4269406392694064,8,1.2377793840606832,2.4771689497716896
400.0,2.0,11325.297496008174,12,0.5284261390573147,1.1757990867579908,9,0.9162849795393867,2.077625570776256
400.0,2.25,11604.63444219553,16,0.37941220962147865,0.9817351598173516,11,0.6953002189535145,1.643835616438356
400.0,2.5,11883.971388382883,16,0.25603252800858345,0.8561643835616438,12,0.5220555898645108,1.3127853881278537
400.0,2.75,12163.308334570236,16,0.17116659804875614,0.7648401826484018,13,0.4115320196122464,1.187214611872146
400.0,3.0,12442.645280757592,16,0.0977181425755421,0.6278538812785388,15,0.3188101186466053,1.038812785388128
400.0,3.25,12721.982226944943,16,0.05565068493150685,0.502283105022831,16,0.23893263280684685,0.9589041095890412
400.0,3.5,13001.319173132299,16,0.037100456621004564,0.365296803652968,16,0.1754630149462285,0.7990867579908676
400.0,3.75,13280.656119319654,16,0.01997716894977169,0.2168949771689498,16,0.12696652693564886,0.684931506849315
400.0,4.0,13559.993065507006,16,0.004994292237442923,0.07990867579908677,16,0.09129690969882975,0.5593607305936072
400.0,5.0,14677.340850256423,16,0.0,0.0,16,0.006405637897048182,0.09107468123861566
400.0,7.0,16912.036419755255,16,0.0,0.0,16,0.0,0.0
400.0,10.0,20264.079774003505,16,0.0,0.0,16,0.0,0.0
450.0,0.75,10153.612765071404,0,2.9130895682062032,4.565118397085611,0,4.284909751852684,5.98816029143898
450.0,1.0,10432.94971125876,3,1.688283257853632,3.1420765027322406,1,2.612973931431993,4.485428051001821
450.0,1.25,10712.286657446111,9,1.062359255308531,2.0947176684881605,3,1.7360409337026224,3.3014571948998177
450.0,1.5,10991.623603633467,10,0.6852297608353919,1.4383561643835616,8,1.2120788575741697,2.2654826958105647
450.0,1.75,11270.960549820822,15,0.4499638976220775,1.004566210045662,9,0.8470881053971105,1.5753424657534247
450.0,2.0,11550.297496008174,16,0.29165730967886816,0.821917808219178,12,0.5933071025775383,1.2899543378995433
450.0,2.25,11829.63444219553,16,0.17757223594580432,0.6963470319634704,14,0.4293317395264116,1.1187214611872145
450.0,2.5,12108.971388382883,16,0.10413352733488035,0.5593607305936072,16,0.29954252127155223,0.9703196347031963
450.0,2.75,12388.308334570236,16,0.05136986301369863,0.4337899543378996,16,0.19613805923597077,0.8333333333333334
450.0,3.0,12667.645280757592,16,0.026398401826484015,0.2968036529680365,16,0.11270686740524491,0.684931506849315
450.0,3.25,12946.982226944943,16,0.009988584474885846,0.15981735159817353,16,0.0741989638695511,0.5593607305936072
450.0,3.5,13226.319173132299,16,0.0028538812785388126,0.045662100456621,16,0.04922945205479452,0.3995433789954338
450.0,3.75,13505.656119319654,16,0.0,0.0,16,0.03139269406392694,0.28538812785388123
450.0,4.0,13784.993065507006,16,0.0,0.0,16,0.014982876712328768,0.15981735159817353
