site,design,model,year,lolp_pct,unmet_hours
Edinburgh,tmy,study,2010,5.810502283105023,509
Edinburgh,tmy,study,2011,1.0844748858447488,95
Edinburgh,tmy,study,2012,0.7627504553734062,67
Edinburgh,tmy,study,2013,0.45662100456621,40
Edinburgh,tmy,study,2014,0.31963470319634707,28
Edinburgh,tmy,study,2015,0.0,0
Edinburgh,tmy,study,2016,1.6962659380692167,149
Edinburgh,tmy,study,2017,0.091324200913242,8
Edinburgh,tmy,study,2018,0.6050228310502284,53
Edinburgh,tmy,study,2019,1.0616438356164384,93
Edinburgh,tmy,study,2020,1.2636612021857925,111
Edinburgh,tmy,pvgis,2005,3.1735159817351595,278
Edinburgh,tmy,pvgis,2006,1.2328767123287672,108
Edinburgh,tmy,pvgis,2007,0.3310502283105023,29
Edinburgh,tmy,pvgis,2008,1.639344262295082,144
Edinburgh,tmy,pvgis,2009,3.0251141552511416,265
Edinburgh,tmy,pvgis,2010,7.066210045662101,619
Edinburgh,tmy,pvgis,2011,1.6210045662100456,142
Edinburgh,tmy,pvgis,2012,1.0359744990892532,91
Edinburgh,tmy,pvgis,2013,1.2785388127853883,112
Edinburgh,tmy,pvgis,2014,0.8105022831050228,71
Edinburgh,tmy,pvgis,2015,0.228310502283105,20
Edinburgh,tmy,pvgis,2016,2.3679417122040074,208
Edinburgh,tmy,pvgis,2017,0.2397260273972603,21
Edinburgh,tmy,pvgis,2018,1.3013698630136987,114
Edinburgh,tmy,pvgis,2019,1.4840182648401825,130
Edinburgh,tmy,pvgis,2020,1.9694899817850637,173
Edinburgh,final,study,2005,0.4794520547945206,42
Edinburgh,final,study,2006,0.2168949771689498,19
Edinburgh,final,study,2007,0.0,0
Edinburgh,final,study,2008,0.22768670309653918,20
Edinburgh,final,study,2009,0.3767123287671233,33
Edinburgh,final,study,2010,1.8150684931506849,159
Edinburgh,final,study,2011,0.0228310502283105,2
Edinburgh,final,study,2012,0.44398907103825136,39
Edinburgh,final,study,2013,0.0,0
