pv_w,battery_kwh,lolp,curtailed_kwh,cost_index
1000,1.0,0.0,762.0570384112799,12907.94971125876
1000,1.5,0.0,761.9302295820338,13466.623603633467
1000,2.0,0.0,761.8034207732463,14025.297496008176
1000,2.5,0.0,761.6766119687076,14583.971388382883
1000,3.0,0.0,761.5498031711811,15142.645280757592
1000,4.0,0.0,761.2961856440234,16259.993065507007
1000,5.0,0.0,761.0425684085735,17377.340850256423
1000,7.0,0.0,760.5353344073354,19612.036419755255
1000,10.0,0.0,759.7744898858349,22964.079774003505
1050,1.0,0.0,806.8907638885158,13132.94971125876
1050,1.5,0.0,806.7639546105012,13691.623603633467
1050,2.0,0.0,806.637145340397,14250.297496008176
1050,2.5,0.0,806.510336070537,14808.971388382883
1050,3.0,0.0,806.383526800678,15367.645280757592
1050,4.0,0.0,806.1299082784496,16484.993065507006
1050,5.0,0.0,805.876289767681,17602.340850256423
1050,7.0,0.0,805.3690527573845,19837.036419755255
1050,10.0,0.0,804.6081973801965,23189.079774003505
1100,1.0,0.0,851.7238276815503,13357.94971125876
1100,1.5,0.0,851.5970166449049,13916.623603633467
1100,2.0,0.0,851.4702056133426,14475.297496008176
1100,2.5,0.0,851.3433945853337,15033.971388382883
1100,3.0,0.0,851.2165835799042,15592.645280757592
1100,4.0,0.0,850.9629615709525,16709.993065507006
1100,5.0,0.0,850.7093395922686,17827.340850256423
1100,7.0,0.0,850.2020956552075,20062.036419755255
1100,10.0,0.0,849.4412300605927,23414.079774003505
1150,1.0,0.0,896.5564621019547,13582.94971125876
1150,1.5,0.0,896.4296457868581,14141.623603633467
1150,2.0,0.0,896.3028294766195,14700.297496008176
1150,2.5,0.0,896.1760131700295,15258.971388382883
1150,3.0,0.0,896.049196871856,15817.645280757592
1150,4.0,0.0,895.7955642755073,16934.993065507006
1150,5.0,0.0,895.5419317036253,18052.340850256423
1150,7.0,0.0,895.034666570429,20287.036419755255
1150,10.0,0.0,894.2737689943989,23639.079774003505
1200,1.0,0.0,941.3887839937329,13807.94971125876
1200,1.5,0.0,941.2619641604081,14366.623603633467
1200,2.0,0.0,941.1351443270825,14925.297496008176
1200,2.5,0.0,941.0083244937566,15483.971388382883
1200,3.0,0.0,940.8815046604316,16042.645280757592
1200,4.0,0.0,940.6278649937801,17159.993065507006
1200,5.0,0.0,940.3742253373522,18277.340850256423
1200,7.0,0.0,939.8669460641833,20512.036419755255
1200,10.0,0.0,939.1060274874299,23864.079774003505
