pv_w,battery_kwh,lolp,curtailed_kwh,cost_index
950,2.0,0.0,693.7311528876093,13800.297496008174
950,2.5,0.0,693.6297063985504,14358.971388382883
950,3.0,0.0,693.5282599108538,14917.645280757592
950,4.0,0.0,693.3253669441988,16034.993065507007
950,5.0,0.0,693.122473997126,17152.340850256423
950,7.0,0.0,692.716688134899,19387.036419755255
950,10.0,0.0,692.1080095054444,22739.079774003505
1000,0.75,0.0036529680365296802,738.0108039914093,12628.612765071404
1000,1.0,0.0,737.5384623866514,12907.94971125876
1000,1.25,0.0,737.4877368821886,13187.286657446111
1000,1.5,0.0,737.4370113777259,13466.623603633467
1000,1.75,0.0,737.3862858977191,13745.960549820822
1000,2.0,0.0,737.3355604239047,14025.297496008176
1000,2.5,0.0,737.2341094762776,14583.971388382883
1000,3.0,0.0,737.1326585286495,15142.645280757592
1000,4.0,0.0,736.9297566333934,16259.993065507007
1000,5.0,0.0,736.7268547423354,17377.340850256423
1000,7.0,0.0,736.3210661636059,19612.036419755255
1000,10.0,0.0,735.7123849110826,22964.079774003505
1050,0.75,0.00228310502283105,781.4691119599349,12853.612765071404
1050,1.0,0.0,781.142511347568,13132.94971125876
1050,1.25,0.0,781.0917848191409,13412.286657446111
1050,1.5,0.0,781.0410582907191,13691.623603633467
1050,1.75,0.0,780.9903317643832,13970.960549820822
1050,2.0,0.0,780.9396052380469,14250.297496008176
1050,2.5,0.0,780.8381521853752,14808.971388382883
1050,3.0,0.0,780.7366991327028,15367.645280757592
1050,4.0,0.0,780.5337930299982,16484.993065507006
1050,5.0,0.0,780.3308869339407,17602.340850256423
1050,7.0,0.0,779.9250747813131,19837.036419755255
1050,10.0,0.0,779.3163566461532,23189.079774003505
1100,0.75,0.0014840182648401827,824.9713510917937,13078.612765071404
1100,1.0,0.0,824.7458743309206,13357.94971125876
1100,1.25,0.0,824.6951474909424,13637.286657446111
1100,1.5,0.0,824.6444206509644,13916.623603633467
1100,1.75,0.0,824.5936938135228,14195.960549820822
1100,2.0,0.0,824.5429669786267,14475.297496008176
1100,2.5,0.0,824.4415133155003,15033.971388382883
1100,3.0,0.0,824.3400596538801,15592.645280757592
1100,4.0,0.0,824.1371523306393,16709.993065507006
1100,5.0,0.0,823.9342450074006,17827.340850256423
1100,7.0,0.0,823.5284303609188,20062.036419755255
1100,10.0,0.0,822.9197085217844,23414.079774003505
1150,0.75,0.0009132420091324201,868.5111475569993,13303.612765071404
1150,1.0,0.0,868.3487251824797,13582.94971125876
1150,1.25,0.0,868.2979975256357,13862.286657446113
1150,1.5,0.0,868.2472698687917,14141.623603633467
1150,1.75,0.0,868.1965422119476,14420.960549820822
1150,2.0,0.0,868.1458145551088,14700.297496008176
1150,2.5,0.0,868.044359263924,15258.971388382883
1150,3.0,0.0,867.942903978209,15817.645280757592
1150,4.0,0.0,867.7399934353285,16934.993065507006
1150,5.0,0.0,867.537083155209,18052.340850256423
1150,7.0,0.0,867.1312628040853,20287.036419755255
1150,10.0,0.0,866.5225331244807,23639.079774003505
1200,0.75,0.0005707762557077625,912.070941526966,13528.612765071404
1200,1.0,0.0,911.9513797869726,13807.94971125876
1200,1.25,0.0,911.9006518631037,14087.286657446113
1200,1.5,0.0,911.8499239393935,14366.623603633467
1200,1.75,0.0,911.7991960176674,14645.960549820822
1200,2.0,0.0,911.7484680968539,14925.297496008176
1200,2.5,0.0,911.6470122592101,15483.971388382883
1200,3.0,0.0,911.5455564220882,16042.645280757592
1200,4.0,0.0,911.3426448023935,17159.993065507006
1200,5.0,0.0,911.1397331931461,18277.340850256423
1200,7.0,0.0,910.7339100184524,20512.036419755255
1200,10.0,0.0,910.125176702531,23864.079774003505
1250,0.75,0.00045662100456621003,955.6544016223232,13753.612765071404
1250,1.0,0.0,955.5536646570223,14032.94971125876
1250,1.25,0.0,955.5029353000197,14312.286657446113
1250,1.5,0.0,955.4522059446064,14591.623603633467
1250,1.75,0.0,955.4014765904432,14870.960549820822
1250,2.0,0.0,955.3507472393962,15150.297496008176
1250,2.5,0.0,955.2492885456593,15708.971388382883
1250,3.0,0.0,955.1478298519213,16267.645280757592
1250,4.0,0.0,954.9449129397664,17384.993065507006
1250,5.0,0.0,954.7419964507371,18502.340850256423
1250,7.0,0.0,954.3361635386008,20737.036419755255
1250,10.0,0.0,953.7274145481853,24089.079774003505
