pv_w,battery_kwh,lolp,curtailed_kwh,cost_index
450,4.0,0.0,248.16922490698536,13784.993065507006
450,5.0,0.0,247.91612005115118,14902.340850256423
450,7.0,0.0,247.40991244761048,17137.036419755255
450,10.0,0.0,246.65065663744969,20489.079774003505
500,1.0,0.020319634703196348,294.1951572411586,10657.94971125876
500,1.5,0.010844748858447488,292.8496812580707,11216.623603633467
500,2.0,0.0045662100456621,291.907760160766,11775.297496008174
500,2.5,0.0013698630136986301,291.3723040835084,12333.971388382883
500,3.0,0.0,291.07749755305855,12892.645280757592
500,4.0,0.0,290.82417382826947,14009.993065507007
500,5.0,0.0,290.5708501321044,15127.340850256423
500,7.0,0.0,290.0642038861876,17362.036419755255
500,10.0,0.0,289.3042368504502,20714.079774003505
550,1.0,0.016095890410958904,336.33902134055177,10882.94971125876
550,1.5,0.006735159817351598,334.98819867888477,11441.623603633467
550,2.0,0.0017123287671232876,334.20724365238704,12000.297496008174
550,2.5,0.0,333.8605704106782,12558.971388382883
550,3.0,0.0,333.7338440867689,13117.645280757592
550,4.0,0.0,333.4803914566838,14234.993065507007
550,5.0,0.0,333.22693891683724,15352.340850256423
550,7.0,0.0,332.7200339964505,17587.036419755255
550,10.0,0.0,331.9596770772467,20939.079774003505
600,1.0,0.013926940639269407,378.67931132923775,11107.94971125876
600,1.5,0.004908675799086758,377.3777313131375,11666.623603633467
600,2.0,0.0009132420091324201,376.75784746010544,12225.297496008174
600,2.5,0.0,376.51610203106947,12783.971388382883
600,3.0,0.0,376.3893425765852,13342.645280757592
600,4.0,0.0,376.13582370978435,14459.993065507007
600,5.0,0.0,375.88230498135425,15577.340850256423
600,7.0,0.0,375.3752675535651,17812.036419755255
600,10.0,0.0,374.61471151280074,21164.079774003505
650,1.0,0.011986301369863013,421.0826241543988,11332.94971125876
650,1.5,0.003767123287671233,419.8835138729515,11891.623603633467
650,2.0,0.00045662100456621003,419.3446093918425,12450.297496008174
650,2.5,0.0,419.1683683063912,13008.971388382883
650,3.0,0.0,419.0415950719738,13567.645280757592
650,4.0,0.0,418.7880486099222,14684.993065507007
650,5.0,0.0,418.53450216368554,15802.340850256423
650,7.0,0.0,418.0274118916875,18037.036419755255
650,10.0,0.0,417.2667934235792,21389.079774003505
700,1.0,0.010273972602739725,463.48243617226706,11557.94971125876
700,1.5,0.0031963470319634705,462.46776692707385,12116.623603633467
700,2.0,0.0,461.94431035294514,12675.297496008174
700,2.5,0.0,461.8175304745424,13233.971388382883
700,3.0,0.0,461.6907506023506,13792.645280757592
700,4.0,0.0,461.43719086680755,14909.993065507007
700,5.0,0.0,461.18363124151784,16027.340850256423
700,7.0,0.0,460.6765124541924,18262.036419755255
700,10.0,0.0,459.91583439302406,21614.079774003505
750,1.0,0.008447488584474886,505.88566762671564,11782.94971125876
750,1.5,0.0028538812785388126,505.05002119315003,12341.623603633467
750,2.0,0.0,504.59190235367424,12900.297496008174
750,2.5,0.0,504.46510211215957,13458.971388382883
750,3.0,0.0,504.33830218265973,14017.645280757592
750,4.0,0.0,504.0847107994671,15134.993065507007
750,5.0,0.0,503.8311195686489,16252.340850256423
750,7.0,0.0,503.3239371894106,18487.036419755255
750,10.0,0.0,502.5631658792865,21839.079774003505
800,1.0,0.007534246575342466,548.4282030783859,12007.94971125876
800,1.5,0.002397260273972603,547.630848670576,12566.623603633467
800,2.0,0.0,547.2385251280863,13125.297496008174
800,2.5,0.0,547.11172193249,13683.971388382883
800,3.0,0.0,546.9849187368944,14242.645280757592
800,4.0,0.0,546.7313123625885,15359.993065507007
800,5.0,0.0,546.4777060247227,16477.340850256423
800,7.0,0.0,545.9704954267947,18712.036419755255
800,10.0,0.0,545.2096815951443,22064.079774003505
850,1.0,0.0069634703196347035,590.9851536260284,12232.94971125876
850,1.5,0.0018264840182648401,590.2106604257528,12791.623603633467
850,2.0,0.0,589.883783543207,13350.297496008174
850,2.5,0.0,589.7569794748372,13908.971388382883
850,3.0,0.0,589.6301754363792,14467.645280757592
850,4.0,0.0,589.376567710364,15584.993065507007
850,5.0,0.0,589.1229600242921,16702.340850256423
850,7.0,0.0,588.6157446972888,18937.036419755255
850,10.0,0.0,587.8549219435878,22289.079774003505
900,1.0,0.006050228310502283,633.5408552773982,12457.94971125876
900,1.5,0.0010273972602739725,632.7892205939221,13016.623603633467
900,2.0,0.0,632.5277232501159,13575.297496008174
900,2.5,0.0,632.4009122134627,14133.971388382883
900,3.0,0.0,632.2741011958661,14692.645280757592
900,4.0,0.0,632.0204792053233,15809.993065507007
900,5.0,0.0,631.7668572210844,16927.340850256423
900,7.0,0.0,631.2596132526099,19162.036419755255
900,10.0,0.0,630.4987650816771,22514.079774003505
950,1.0,0.005365296803652968,676.0951696994276,12682.94971125876
